,Date1,Away_Team1,Home_Team1,Stadium1,Location1,League1,Lat_Lon1,Date2,Away_Team2,Home_Team2,Stadium2,Location2,League2,Lat_Lon2,Date3,Away_Team3,Home_Team3,Stadium3,Location3,League3,Lat_Lon3
499,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Central Connecticut,Long Island University,Bethpage Federal Credit Union Stadium,"Old Westbury, NY",FCS,"(40.7887113, -73.5995717)",2022-11-06 00:00:00,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)"
500,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Lehigh,Holy Cross,Fitton Field,"Worcester, MA",FCS,"(42.2625621, -71.8018877)",,,,,,,
501,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Lafayette,Colgate,Andy Kerr Stadium,"Hamilton, NY",FCS,"(40.9136697, -73.1297621)",,,,,,,
502,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Lafayette,Colgate,Andy Kerr Stadium,"Hamilton, NY",FCS,"(40.9136697, -73.1297621)",2022-11-06 00:00:00,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)"
503,2022-11-05,Brown,Yale,Yale Bowl,"New Haven, CT",FCS,"(41.3082138, -72.9250518)",2022-11-06,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
504,2022-11-05,Houston Baptist,SE Louisiana,Strawberry Stadium,"Hammond, LA",FCS,"(30.5043583, -90.4611995)",2022-11-07,Baltimore Ravens,New Orleans Saints,Caesars Superdome,"New Orleans, LA",NFL,"(29.9759983, -90.0782127)",,,,,,,
505,2022-11-05,St. Thomas - Minnesota,Valparaiso,Brown Field,"Valparaiso, IN",FCS,"(41.4730948, -87.0611412)",2022-11-06,Miami Dolphins,Chicago Bears,Soldier Field,"Chicago, IL",NFL,"(41.8755616, -87.6244212)",,,,,,,
506,2022-11-05,Monmouth,Delaware,Delaware Stadium,"Newark, DE",FCS,"(39.6775927, -75.7630866)",2022-11-06,Minnesota Vikings,Washington Commanders,FedExField,"Landover, MD",NFL,"(38.92531295, -76.88154330442846)",,,,,,,
507,2022-11-05,Morgan State,Stony Brook,Kenneth P. LaValle Stadium,"Stony Brook, NY",FCS,"(40.9087015, -73.13960360056436)",2022-11-06,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
508,2022-11-05,St. Francis (PA),Georgetown,Cooper Field,"Washington, DC",FCS,"(38.8950368, -77.0365427)",2022-11-06,Minnesota Vikings,Washington Commanders,FedExField,"Landover, MD",NFL,"(38.92531295, -76.88154330442846)",,,,,,,
509,2022-11-05,Clemson,Notre Dame,Notre Dame Stadium,"Notre Dame, IN",FBS,"(41.704567749999995, -86.23822026017265)",2022-11-06,Miami Dolphins,Chicago Bears,Soldier Field,"Chicago, IL",NFL,"(41.8755616, -87.6244212)",,,,,,,
510,2022-11-05,UCLA,Arizona State,Sun Devil Stadium,"Tempe, AZ",FBS,"(33.4255056, -111.9400091)",2022-11-06,Seattle Seahawks,Arizona Cardinals,State Farm Stadium,"Glendale, AZ",NFL,"(33.5386858, -112.1859941)",,,,,,,
511,2022-11-05,Alabama,LSU,Tiger Stadium (LA),"Baton Rouge, LA",FBS,"(30.4459596, -91.18738)",2022-11-07,Baltimore Ravens,New Orleans Saints,Caesars Superdome,"New Orleans, LA",NFL,"(29.9759983, -90.0782127)",,,,,,,
512,2022-11-05,Oklahoma State,Kansas,David Booth Kansas Memorial Stadium,"Lawrence, KS",FBS,"(38.9719384, -95.2359496)",2022-11-06,Tennessee Titans,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",NFL,"(39.100105, -94.5781416)",,,,,,,
513,2022-11-05,Ohio State,Northwestern,Ryan Field,"Evanston, IL",FBS,"(42.0447388, -87.6930459)",2022-11-06,Miami Dolphins,Chicago Bears,Soldier Field,"Chicago, IL",NFL,"(41.8755616, -87.6244212)",,,,,,,
514,2022-11-05,Michigan,Rutgers,SHI Stadium,"Piscataway, NJ",FBS,"(40.5462553, -74.4660408)",2022-11-06,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
515,2022-11-05,James Madison,Louisville,Cardinal Stadium,"Louisville, KY",FBS,"(38.2542376, -85.759407)",2022-11-06,Carolina Panthers,Cincinnati Bengals,Paul Brown Stadium,"Cincinnati, OH",NFL,"(39.1014537, -84.5124602)",,,,,,,
516,2022-11-05,James Madison,Louisville,Cardinal Stadium,"Louisville, KY",FBS,"(38.2542376, -85.759407)",2022-11-06,Carolina Panthers,Cincinnati Bengals,Paul Brown Stadium,"Cincinnati, OH",NFL,"(39.1014537, -84.5124602)",2022-11-08 00:00:00,Ohio,Miami (OH),Yager Stadium,"Oxford, OH",FBS,"(39.5103048, -84.7420519)"
517,2022-11-05,Syracuse,Pittsburgh,Heinz Field,"Pittsburgh, PA",FBS,"(40.4416941, -79.9900861)",2022-11-08,Eastern Michigan,Akron,InfoCision Stadium,"Akron, OH",FBS,"(41.083064, -81.518485)",,,,,,,
518,2022-11-05,Tennessee,Georgia,Sanford Stadium,"Athens, GA",FBS,"(33.9597677, -83.376398)",2022-11-06,Los Angeles Chargers,Atlanta Falcons,Mercedes-Benz Stadium,"Atlanta, GA",NFL,"(33.7489924, -84.3902644)",,,,,,,
519,2022-11-05,Central Connecticut,Long Island University,Bethpage Federal Credit Union Stadium,"Old Westbury, NY",FCS,"(40.7887113, -73.5995717)",2022-11-06,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
520,2022-11-05,Alabama State,Bethune-Cookman,Daytona Stadium,"Daytona Beach, FL",FCS,"(29.2108147, -81.0228331)",2022-11-06,Las Vegas Raiders,Jacksonville Jaguars,TIAA Bank Field,"Jacksonville, FL",NFL,"(30.3321838, -81.655651)",,,,,,,
521,2022-11-05,Sacred Heart,Duquesne,Arthur J. Rooney Athletic Field,"Pittsburgh, PA",FCS,"(40.4416941, -79.9900861)",2022-11-08,Eastern Michigan,Akron,InfoCision Stadium,"Akron, OH",FBS,"(41.083064, -81.518485)",,,,,,,
522,2022-11-05,Marist,Morehead State,Jayne Stadium,"Morehead, KY",FCS,"(38.1839705, -83.4326841)",2022-11-06,Carolina Panthers,Cincinnati Bengals,Paul Brown Stadium,"Cincinnati, OH",NFL,"(39.1014537, -84.5124602)",,,,,,,
523,2022-11-05,Marist,Morehead State,Jayne Stadium,"Morehead, KY",FCS,"(38.1839705, -83.4326841)",2022-11-06,Carolina Panthers,Cincinnati Bengals,Paul Brown Stadium,"Cincinnati, OH",NFL,"(39.1014537, -84.5124602)",2022-11-08 00:00:00,Ohio,Miami (OH),Yager Stadium,"Oxford, OH",FBS,"(39.5103048, -84.7420519)"
524,2022-11-05,Lafayette,Colgate,Andy Kerr Stadium,"Hamilton, NY",FCS,"(40.9136697, -73.1297621)",2022-11-06,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
525,2022-11-05,Dartmouth,Princeton,Powers Field at Princeton Stadium,"Princeton, NJ",FCS,"(40.34833555, -74.6684230570877)",2022-11-06,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
526,2022-11-05,Villanova,Towson,Johnny Unitas Stadium,"Towson, MD",FCS,"(39.396459050000004, -76.61481481790992)",2022-11-06,Minnesota Vikings,Washington Commanders,FedExField,"Landover, MD",NFL,"(38.92531295, -76.88154330442846)",,,,,,,
527,2022-11-05,Navy,Cincinnati,Nippert Stadium,"Cincinnati, OH",FBS,"(39.1014537, -84.5124602)",2022-11-06,Carolina Panthers,Cincinnati Bengals,Paul Brown Stadium,"Cincinnati, OH",NFL,"(39.1014537, -84.5124602)",,,,,,,
528,2022-11-05,Navy,Cincinnati,Nippert Stadium,"Cincinnati, OH",FBS,"(39.1014537, -84.5124602)",2022-11-06,Carolina Panthers,Cincinnati Bengals,Paul Brown Stadium,"Cincinnati, OH",NFL,"(39.1014537, -84.5124602)",2022-11-08 00:00:00,Ohio,Miami (OH),Yager Stadium,"Oxford, OH",FBS,"(39.5103048, -84.7420519)"
529,2022-11-05,Navy,Cincinnati,Nippert Stadium,"Cincinnati, OH",FBS,"(39.1014537, -84.5124602)",2022-11-08,Ohio,Miami (OH),Yager Stadium,"Oxford, OH",FBS,"(39.5103048, -84.7420519)",,,,,,,
530,2022-11-05,South Florida,Temple,Lincoln Financial Field,"Philadelphia, PA",FBS,"(39.9527237, -75.1635262)",2022-11-06,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
531,2022-11-06,Carolina Panthers,Cincinnati Bengals,Paul Brown Stadium,"Cincinnati, OH",NFL,"(39.1014537, -84.5124602)",2022-11-08,Ohio,Miami (OH),Yager Stadium,"Oxford, OH",FBS,"(39.5103048, -84.7420519)",,,,,,,
532,2022-11-06,Green Bay Packers,Detroit Lions,Ford Field,"Detroit, MI",NFL,"(42.3315509, -83.0466403)",2022-11-08,Ball State,Toledo,Glass Bowl,"Toledo, OH",FBS,"(41.6529143, -83.5378173)",,,,,,,
533,2022-11-06,Green Bay Packers,Detroit Lions,Ford Field,"Detroit, MI",NFL,"(42.3315509, -83.0466403)",2022-11-08,Ball State,Toledo,Glass Bowl,"Toledo, OH",FBS,"(41.6529143, -83.5378173)",2022-11-09 00:00:00,Kent State,Bowling Green,Doyt L. Perry Stadium,"Bowling Green, OH",FBS,"(41.3747744, -83.6513229)"
534,2022-11-06,Green Bay Packers,Detroit Lions,Ford Field,"Detroit, MI",NFL,"(42.3315509, -83.0466403)",2022-11-09,Kent State,Bowling Green,Doyt L. Perry Stadium,"Bowling Green, OH",FBS,"(41.3747744, -83.6513229)",,,,,,,
535,2022-11-08,Ball State,Toledo,Glass Bowl,"Toledo, OH",FBS,"(41.6529143, -83.5378173)",2022-11-09,Kent State,Bowling Green,Doyt L. Perry Stadium,"Bowling Green, OH",FBS,"(41.3747744, -83.6513229)",,,,,,,
536,2022-11-08,Ohio,Miami (OH),Yager Stadium,"Oxford, OH",FBS,"(39.5103048, -84.7420519)",2022-11-11,East Carolina,Cincinnati,Nippert Stadium,"Cincinnati, OH",FBS,"(39.1014537, -84.5124602)",,,,,,,
537,2022-11-08,Ohio,Miami (OH),Yager Stadium,"Oxford, OH",FBS,"(39.5103048, -84.7420519)",2022-11-11,East Carolina,Cincinnati,Nippert Stadium,"Cincinnati, OH",FBS,"(39.1014537, -84.5124602)",2022-11-12 00:00:00,Vanderbilt,Kentucky,Kroger Field,"Lexington, KY",FBS,"(38.0464066, -84.4970393)"
538,2022-11-08,Ohio,Miami (OH),Yager Stadium,"Oxford, OH",FBS,"(39.5103048, -84.7420519)",2022-11-11,East Carolina,Cincinnati,Nippert Stadium,"Cincinnati, OH",FBS,"(39.1014537, -84.5124602)",2022-11-12 00:00:00,Morehead State,Dayton,Welcome Stadium,"Dayton, OH",FCS,"(39.7589478, -84.1916069)"
539,2022-11-09,Northern Illinois,Western Michigan,Waldo Stadium,"Kalamazoo, MI",FBS,"(42.291707, -85.5872286)",2022-11-12,Rutgers,Michigan State,Spartan Stadium,"East Lansing, MI",FBS,"(42.7320307, -84.4721678)",,,,,,,
540,2022-11-09,Buffalo,Central Michigan,Kelly/Shorts Stadium,"Mount Pleasant, MI",FBS,"(43.597646, -84.7668495)",2022-11-12,Rutgers,Michigan State,Spartan Stadium,"East Lansing, MI",FBS,"(42.7320307, -84.4721678)",,,,,,,
541,2022-11-09,Kent State,Bowling Green,Doyt L. Perry Stadium,"Bowling Green, OH",FBS,"(41.3747744, -83.6513229)",2022-11-12,Nebraska,Michigan,Michigan Stadium,"Ann Arbor, MI",FBS,"(42.2681569, -83.7312291)",,,,,,,
542,2022-11-10,Atlanta Falcons,Carolina Panthers,Bank of America Stadium,"Charlotte, NC",NFL,"(35.2272086, -80.8430827)",2022-11-12,North Carolina,Wake Forest,Truist Field,"Winston-Salem, NC",FBS,"(36.0998131, -80.2440518)",,,,,,,
543,2022-11-10,Atlanta Falcons,Carolina Panthers,Bank of America Stadium,"Charlotte, NC",NFL,"(35.2272086, -80.8430827)",2022-11-12,VMI,Wofford,Gibbs Stadium,"Spartanburg, SC",FCS,"(34.9498007, -81.9320157)",,,,,,,
544,2022-11-10,Atlanta Falcons,Carolina Panthers,Bank of America Stadium,"Charlotte, NC",NFL,"(35.2272086, -80.8430827)",2022-11-12,Charleston Southern,North Carolina A&T,Truist Stadium,"Greensboro, NC",FCS,"(36.0726355, -79.7919754)",,,,,,,
545,2022-11-10,Tulsa,Memphis,Liberty Bowl Memorial Stadium,"Memphis, TN",FBS,"(35.1335022, -89.9668758)",2022-11-12,Alabama,Ole Miss,Vaught-Hemingway Stadium,"Oxford, MS",FBS,"(34.3663773, -89.5187664)",,,,,,,
546,2022-11-10,Tulsa,Memphis,Liberty Bowl Memorial Stadium,"Memphis, TN",FBS,"(35.1335022, -89.9668758)",2022-11-12,UMass,Arkansas State,Centennial Bank Stadium,"Jonesboro, AR",FBS,"(35.8428646, -90.7034522)",,,,,,,
547,2022-11-10,Georgia Southern,Louisiana,Cajun Field,"Lafayette, LA",FBS,"(30.2043259, -92.0298813)",2022-11-12,Nicholls,McNeese,Cowboy Stadium (LA),"Lake Charles, LA",FCS,"(30.2265949, -93.2173759)",,,,,,,
548,2022-11-10,Georgia Southern,Louisiana,Cajun Field,"Lafayette, LA",FBS,"(30.2043259, -92.0298813)",2022-11-12,Mississippi Valley State,Southern,A.W. Mumford Stadium,"Baton Rouge, LA",FCS,"(30.4459596, -91.18738)",,,,,,,
549,2022-11-11,East Carolina,Cincinnati,Nippert Stadium,"Cincinnati, OH",FBS,"(39.1014537, -84.5124602)",2022-11-12,Vanderbilt,Kentucky,Kroger Field,"Lexington, KY",FBS,"(38.0464066, -84.4970393)",,,,,,,
550,2022-11-11,East Carolina,Cincinnati,Nippert Stadium,"Cincinnati, OH",FBS,"(39.1014537, -84.5124602)",2022-11-12,Morehead State,Dayton,Welcome Stadium,"Dayton, OH",FCS,"(39.7589478, -84.1916069)",,,,,,,
551,2022-11-11,Colorado,USC,Los Angeles Memorial Coliseum,"Los Angeles, CA",FBS,"(34.0536909, -118.242766)",2022-11-12,Arizona,UCLA,Rose Bowl,"Pasadena, CA",FBS,"(34.1476452, -118.1444779)",,,,,,,
552,2022-11-11,Colorado,USC,Los Angeles Memorial Coliseum,"Los Angeles, CA",FBS,"(34.0536909, -118.242766)",2022-11-12,Arizona,UCLA,Rose Bowl,"Pasadena, CA",FBS,"(34.1476452, -118.1444779)",2022-11-13 00:00:00,Arizona Cardinals,Los Angeles Rams,SoFi Stadium,"Inglewood, CA",NFL,"(33.9562003, -118.353132)"
553,2022-11-11,Colorado,USC,Los Angeles Memorial Coliseum,"Los Angeles, CA",FBS,"(34.0536909, -118.242766)",2022-11-13,Arizona Cardinals,Los Angeles Rams,SoFi Stadium,"Inglewood, CA",NFL,"(33.9562003, -118.353132)",,,,,,,
554,2022-11-12,Rice,Western Kentucky,Houchens Industries-L.T. Smith Stadium,"Bowling Green, KY",FBS,"(36.9903199, -86.4436018)",2022-11-13,Denver Broncos,Tennessee Titans,Nissan Stadium,"Nashville, TN",NFL,"(36.1622767, -86.7742984)",,,,,,,
555,2022-11-12,Notre Dame,Navy,M&T Bank Stadium,"Baltimore, MD",FBS,"(39.2908816, -76.610759)",2022-11-14,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
556,2022-11-12,Florida Atlantic,Florida International,Riccardo Silva Stadium,"Miami, FL",FBS,"(25.7741728, -80.19362)",2022-11-13,Cleveland Browns,Miami Dolphins,Hard Rock Stadium,"Miami Gardens, FL",NFL,"(25.9420377, -80.2456045)",,,,,,,
557,2022-11-12,Arizona,UCLA,Rose Bowl,"Pasadena, CA",FBS,"(34.1476452, -118.1444779)",2022-11-13,Arizona Cardinals,Los Angeles Rams,SoFi Stadium,"Inglewood, CA",NFL,"(33.9562003, -118.353132)",,,,,,,
558,2022-11-12,Oklahoma,West Virginia,Milan Puskar Stadium,"Morgantown, WV",FBS,"(39.6296809, -79.9559437)",2022-11-13,New Orleans Saints,Pittsburgh Steelers,Heinz Field,"Pittsburgh, PA",NFL,"(40.4416941, -79.9900861)",,,,,,,
559,2022-11-12,Rutgers,Michigan State,Spartan Stadium,"East Lansing, MI",FBS,"(42.7320307, -84.4721678)",2022-11-15,Bowling Green,Toledo,Glass Bowl,"Toledo, OH",FBS,"(41.6529143, -83.5378173)",,,,,,,
560,2022-11-12,Nebraska,Michigan,Michigan Stadium,"Ann Arbor, MI",FBS,"(42.2681569, -83.7312291)",2022-11-15,Bowling Green,Toledo,Glass Bowl,"Toledo, OH",FBS,"(41.6529143, -83.5378173)",,,,,,,
561,2022-11-12,Fresno State,UNLV,Allegiant Stadium,"Las Vegas, NV",FBS,"(36.1672559, -115.148516)",2022-11-13,Indianapolis Colts,Las Vegas Raiders,Allegiant Stadium,"Las Vegas, NV",NFL,"(36.1672559, -115.148516)",,,,,,,
562,2022-11-12,Charlotte,Middle Tennessee,"Johnny ""Red"" Floyd Stadium","Murfreesboro, TN",FBS,"(35.8460396, -86.3921096)",2022-11-13,Denver Broncos,Tennessee Titans,Nissan Stadium,"Nashville, TN",NFL,"(36.1622767, -86.7742984)",,,,,,,
563,2022-11-12,Towson,Stony Brook,Kenneth P. LaValle Stadium,"Stony Brook, NY",FCS,"(40.9087015, -73.13960360056436)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
564,2022-11-12,Towson,Stony Brook,Kenneth P. LaValle Stadium,"Stony Brook, NY",FCS,"(40.9087015, -73.13960360056436)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",2022-11-14 00:00:00,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)"
565,2022-11-12,Morgan State,Delaware State,Alumni Stadium (DE),"Dover, DE",FCS,"(39.158168, -75.5243682)",2022-11-14,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
566,2022-11-12,Robert Morris,Murray State,Roy Stewart Stadium,"Murray, KY",FCS,"(36.6103334, -88.314761)",2022-11-13,Denver Broncos,Tennessee Titans,Nissan Stadium,"Nashville, TN",NFL,"(36.1622767, -86.7742984)",,,,,,,
567,2022-11-12,UT Martin,Tennessee State,Nissan Stadium,"Nashville, TN",FCS,"(36.1622767, -86.7742984)",2022-11-13,Denver Broncos,Tennessee Titans,Nissan Stadium,"Nashville, TN",NFL,"(36.1622767, -86.7742984)",,,,,,,
568,2022-11-12,Princeton,Yale,Yale Bowl,"New Haven, CT",FCS,"(41.3082138, -72.9250518)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
569,2022-11-12,Princeton,Yale,Yale Bowl,"New Haven, CT",FCS,"(41.3082138, -72.9250518)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",2022-11-14 00:00:00,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)"
570,2022-11-12,Valparaiso,Marist,Tenney Stadium at Leonidoff Field,"Poughkeepsie, NY",FCS,"(41.7065539, -73.9283672)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
571,2022-11-12,Valparaiso,Marist,Tenney Stadium at Leonidoff Field,"Poughkeepsie, NY",FCS,"(41.7065539, -73.9283672)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",2022-11-14 00:00:00,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)"
572,2022-11-12,Lafayette,Fordham,Jack Coffey Field,"Bronx, NY",FCS,"(40.8466508, -73.8785937)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
573,2022-11-12,Lafayette,Fordham,Jack Coffey Field,"Bronx, NY",FCS,"(40.8466508, -73.8785937)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",2022-11-14 00:00:00,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)"
574,2022-11-12,Lafayette,Fordham,Jack Coffey Field,"Bronx, NY",FCS,"(40.8466508, -73.8785937)",2022-11-14,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
575,2022-11-12,Morehead State,Dayton,Welcome Stadium,"Dayton, OH",FCS,"(39.7589478, -84.1916069)",2022-11-15,Ohio,Ball State,Scheumann Stadium,"Muncie, IN",FBS,"(40.1936892, -85.3865271)",,,,,,,
576,2022-11-12,Richmond,Delaware,Delaware Stadium,"Newark, DE",FCS,"(39.6775927, -75.7630866)",2022-11-14,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
577,2022-11-12,Stonehill College,Long Island University,Bethpage Federal Credit Union Stadium,"Old Westbury, NY",FCS,"(40.7887113, -73.5995717)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
578,2022-11-12,Stonehill College,Long Island University,Bethpage Federal Credit Union Stadium,"Old Westbury, NY",FCS,"(40.7887113, -73.5995717)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",2022-11-14 00:00:00,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)"
579,2022-11-12,Merrimack,Central Connecticut,Arute Field,"New Britain, CT",FCS,"(41.6612104, -72.7795419)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
580,2022-11-12,Merrimack,Central Connecticut,Arute Field,"New Britain, CT",FCS,"(41.6612104, -72.7795419)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",2022-11-14 00:00:00,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)"
581,2022-11-12,Sacred Heart,Wagner,Hameline Field at Wagner College Stadium,"Staten Island, NY",FCS,"(40.5834557, -74.1496048)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
582,2022-11-12,Sacred Heart,Wagner,Hameline Field at Wagner College Stadium,"Staten Island, NY",FCS,"(40.5834557, -74.1496048)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",2022-11-14 00:00:00,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)"
583,2022-11-12,Sacred Heart,Wagner,Hameline Field at Wagner College Stadium,"Staten Island, NY",FCS,"(40.5834557, -74.1496048)",2022-11-14,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
584,2022-11-12,Duquesne,St. Francis (PA),DeGol Field,"Loretto, PA",FCS,"(40.5029161, -78.6314019)",2022-11-13,New Orleans Saints,Pittsburgh Steelers,Heinz Field,"Pittsburgh, PA",NFL,"(40.4416941, -79.9900861)",,,,,,,
585,2022-11-12,Harvard,Pennsylvania,Franklin Field,"Philadelphia, PA",FCS,"(39.9527237, -75.1635262)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
586,2022-11-12,Harvard,Pennsylvania,Franklin Field,"Philadelphia, PA",FCS,"(39.9527237, -75.1635262)",2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",2022-11-14 00:00:00,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)"
587,2022-11-12,Harvard,Pennsylvania,Franklin Field,"Philadelphia, PA",FCS,"(39.9527237, -75.1635262)",2022-11-14,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
588,2022-11-13,New Orleans Saints,Pittsburgh Steelers,Heinz Field,"Pittsburgh, PA",NFL,"(40.4416941, -79.9900861)",2022-11-16,Eastern Michigan,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)",,,,,,,
589,2022-11-13,Houston Texans,New York Giants,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",2022-11-14,Washington Commanders,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
590,2022-11-13,Detroit Lions,Chicago Bears,Soldier Field,"Chicago, IL",NFL,"(41.8755616, -87.6244212)",2022-11-16,Miami (OH),Northern Illinois,Huskie Stadium,"DeKalb, IL",FBS,"(41.8903447, -88.7713953)",,,,,,,
591,2022-11-16,Eastern Michigan,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)",2022-11-19,Wagner,Duquesne,Arthur J. Rooney Athletic Field,"Pittsburgh, PA",FCS,"(40.4416941, -79.9900861)",,,,,,,
592,2022-11-16,Eastern Michigan,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)",2022-11-19,Wagner,Duquesne,Arthur J. Rooney Athletic Field,"Pittsburgh, PA",FCS,"(40.4416941, -79.9900861)",2022-11-20 00:00:00,Cincinnati Bengals,Pittsburgh Steelers,Heinz Field,"Pittsburgh, PA",NFL,"(40.4416941, -79.9900861)"
593,2022-11-16,Eastern Michigan,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)",2022-11-19,Southern Illinois,Youngstown State,Stambaugh Stadium,"Youngstown, OH",FCS,"(41.1035786, -80.6520161)",,,,,,,
