,Date1,Away_Team1,Home_Team1,Stadium1,Location1,League1,Lat_Lon1,Date2,Away_Team2,Home_Team2,Stadium2,Location2,League2,Lat_Lon2,Date3,Away_Team3,Home_Team3,Stadium3,Location3,League3,Lat_Lon3
425,2022-10-27,Virginia Tech,NC State,Carter-Finley Stadium,"Raleigh, NC",FBS,"(35.7803977, -78.6390989)",2022-10-29,Pittsburgh,North Carolina,Kenan Stadium,"Chapel Hill, NC",FBS,"(35.9131542, -79.05578)",,,,,,,
426,2022-10-27,Louisiana,Southern Miss,M. M. Roberts Stadium,"Hattiesburg, MS",FBS,"(31.3271189, -89.2903392)",2022-10-29,Southern,Jackson State,Mississippi Veterans Memorial Stadium,"Jackson, MS",FCS,"(32.2990021, -90.1847691)",,,,,,,
427,2022-10-27,Utah,Washington State,Martin Stadium,"Pullman, WA",FBS,"(46.7304268, -117.173895)",2022-10-29,Portland State,Eastern Washington,Roos Field,"Cheney, WA",FCS,"(47.4892246, -117.579304)",,,,,,,
428,2022-10-27,Baltimore Ravens,Tampa Bay Buccaneers,Raymond James Stadium,"Tampa, FL",NFL,"(27.9477595, -82.458444)",2022-10-29,Cincinnati,UCF,Bounce House,"Orlando, FL",FBS,"(28.5421109, -81.3790304)",,,,,,,
429,2022-10-28,East Carolina,BYU,LaVell Edwards Stadium,"Provo, UT",FBS,"(40.2337289, -111.6587085)",2022-10-29,Montana,Weber State,Elizabeth Dee Shaw Stewart Stadium,"Ogden, UT",FCS,"(41.2230048, -111.9738429)",,,,,,,
430,2022-10-29,Bethune-Cookman,Prairie View A&M,Panther Stadium at Blackshear Field,"Prairie View, TX",FCS,"(30.0857916, -95.9907058)",2022-10-30,Tennessee Titans,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",,,,,,,
431,2022-10-29,Lincoln University (CA),Texas Southern,Alexander Durley Sports Complex,"Houston, TX",FCS,"(29.7589382, -95.3676974)",2022-10-30,Tennessee Titans,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",,,,,,,
432,2022-10-29,Incarnate Word,Tarleton,"Memorial Stadium (Stephenville, TX)","Stephenville, TX",FCS,"(32.2191836, -98.2130634)",2022-10-30,Chicago Bears,Dallas Cowboys,AT&T Stadium,"Arlington, TX",NFL,"(32.701938999999996, -97.10562379033699)",,,,,,,
433,2022-10-29,South Dakota,Youngstown State,Stambaugh Stadium,"Youngstown, OH",FCS,"(41.1035786, -80.6520161)",2022-10-31,Cincinnati Bengals,Cleveland Browns,FirstEnergy Stadium,"Cleveland, OH",NFL,"(41.4996562, -81.6936813)",,,,,,,
434,2022-10-29,South Dakota,Youngstown State,Stambaugh Stadium,"Youngstown, OH",FCS,"(41.1035786, -80.6520161)",2022-10-31,Cincinnati Bengals,Cleveland Browns,FirstEnergy Stadium,"Cleveland, OH",NFL,"(41.4996562, -81.6936813)",2022-11-01 00:00:00,Ball State,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)"
435,2022-10-29,South Dakota,Youngstown State,Stambaugh Stadium,"Youngstown, OH",FCS,"(41.1035786, -80.6520161)",2022-11-01,Ball State,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)",,,,,,,
436,2022-10-29,Wagner,Central Connecticut,Arute Field,"New Britain, CT",FCS,"(41.6612104, -72.7795419)",2022-10-30,New England Patriots,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
437,2022-10-29,St. Francis (PA),Sacred Heart,Campus Field,"Fairfield, CT",FCS,"(41.2943069, -73.37486)",2022-10-30,New England Patriots,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
438,2022-10-29,Texas A&M-Commerce,Nicholls,John L. Guidry Stadium,"Thibodaux, LA",FCS,"(29.7957633, -90.822871)",2022-10-30,Las Vegas Raiders,New Orleans Saints,Caesars Superdome,"New Orleans, LA",NFL,"(29.9759983, -90.0782127)",,,,,,,
439,2022-10-29,Southern Utah,Lamar,Provost Umphrey Stadium,"Beaumont, TX",FCS,"(30.0860459, -94.1018461)",2022-10-30,Tennessee Titans,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",,,,,,,
440,2022-10-29,South Carolina State,Morgan State,Hughes Stadium (MD),"Baltimore, MD",FCS,"(39.2908816, -76.610759)",2022-10-30,Pittsburgh Steelers,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
441,2022-10-29,UT Martin,Houston Baptist,Husky Stadium (TX),"Houston, TX",FCS,"(29.7589382, -95.3676974)",2022-10-30,Tennessee Titans,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",,,,,,,
442,2022-10-29,Cornell,Princeton,Powers Field at Princeton Stadium,"Princeton, NJ",FCS,"(40.34833555, -74.6684230570877)",2022-10-30,New England Patriots,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
443,2022-10-29,Cornell,Princeton,Powers Field at Princeton Stadium,"Princeton, NJ",FCS,"(40.34833555, -74.6684230570877)",2022-10-30,Pittsburgh Steelers,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
444,2022-10-29,Yale,Columbia,Lawrence A. Wien Stadium,"New York, NY",FCS,"(40.7127281, -74.0060152)",2022-10-30,New England Patriots,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
445,2022-10-29,Yale,Columbia,Lawrence A. Wien Stadium,"New York, NY",FCS,"(40.7127281, -74.0060152)",2022-10-30,Pittsburgh Steelers,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
446,2022-10-29,Presbyterian,Marist,Tenney Stadium at Leonidoff Field,"Poughkeepsie, NY",FCS,"(41.7065539, -73.9283672)",2022-10-30,New England Patriots,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
447,2022-10-29,San Diego,St. Thomas - Minnesota,O'Shaughnessy Stadium,"Saint Paul, MN",FCS,"(44.9497487, -93.0931028)",2022-10-30,Arizona Cardinals,Minnesota Vikings,U.S. Bank Stadium,"Minneapolis, MN",NFL,"(44.9772995, -93.2654692)",,,,,,,
448,2022-10-29,North Carolina Central,Delaware State,Alumni Stadium (DE),"Dover, DE",FCS,"(39.158168, -75.5243682)",2022-10-30,Pittsburgh Steelers,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
449,2022-10-29,Hampton,Villanova,Villanova Stadium,"Philadelphia, PA",FCS,"(39.9527237, -75.1635262)",2022-10-30,New England Patriots,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
450,2022-10-29,Hampton,Villanova,Villanova Stadium,"Philadelphia, PA",FCS,"(39.9527237, -75.1635262)",2022-10-30,Pittsburgh Steelers,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
